0, exc, bneuron_d_0: 1.0, bneuron_v_0: 0.0
2000, exc, bneuron_d_2: 0.13, bneuron_v_2: 0.0
2000, exc, bneuron_d_3: 0.0, bneuron_v_3: 0.47
2000, exc, bneuron_d_3: 0.0, bneuron_v_3: 0.47
2000, exc, bneuron_d_4: 0.36, bneuron_v_4: 0.0
2000, exc, bneuron_d_4: 0.36, bneuron_v_4: 0.0
2000, exc, bneuron_d_5: 0.57, bneuron_v_5: 0.0
2000, exc, bneuron_d_5: 0.57, bneuron_v_5: 0.0
2000, exc, bneuron_d_6: 0.71, bneuron_v_6: 0.0
2000, exc, bneuron_d_6: 0.71, bneuron_v_6: 0.0
2000, exc, bneuron_d_7: 0.0, bneuron_v_7: 0.63
2000, exc, bneuron_d_7: 0.0, bneuron_v_7: 0.63
2000, exc, bneuron_d_8: 0.0, bneuron_v_8: 0.24
2000, exc, bneuron_d_8: 0.0, bneuron_v_8: 0.24
2000, exc, bneuron_d_9: 0.7, bneuron_v_9: 0.0
2000, exc, bneuron_d_9: 0.7, bneuron_v_9: 0.0
2000, exc, bneuron_d_10: 0.24, bneuron_v_10: 0.0
2000, exc, bneuron_d_10: 0.24, bneuron_v_10: 0.0
3000, exc, bneuron_d_0: 1.0, bneuron_v_0: 0.0
3000, exc, bneuron_d_1: 0.21, bneuron_v_1: 0.0
3000, exc, bneuron_d_1: 0.21, bneuron_v_1: 0.0
3000, exc, bneuron_d_2: 0.0, bneuron_v_2: 0.78
3000, exc, bneuron_d_2: 0.0, bneuron_v_2: 0.78
3000, exc, bneuron_d_3: 0.0, bneuron_v_3: 0.11
3000, exc, bneuron_d_3: 0.0, bneuron_v_3: 0.11
3000, exc, bneuron_d_4: 0.0, bneuron_v_4: 0.41
3000, exc, bneuron_d_4: 0.0, bneuron_v_4: 0.41
3000, exc, bneuron_d_5: 0.0, bneuron_v_5: 0.85
3000, exc, bneuron_d_5: 0.0, bneuron_v_5: 0.85
3000, exc, bneuron_d_6: 0.0, bneuron_v_6: 0.67
3000, exc, bneuron_d_6: 0.0, bneuron_v_6: 0.67
3000, exc, bneuron_d_7: 0.0, bneuron_v_7: 0.62
3000, exc, bneuron_d_7: 0.0, bneuron_v_7: 0.62
3000, exc, bneuron_d_8: 0.97, bneuron_v_8: 0.0
3000, exc, bneuron_d_8: 0.97, bneuron_v_8: 0.0
3000, exc, bneuron_d_9: 0.16, bneuron_v_9: 0.0
3000, exc, bneuron_d_9: 0.16, bneuron_v_9: 0.0
3000, exc, bneuron_d_10: 0.0, bneuron_v_10: 0.46
3000, exc, bneuron_d_10: 0.0, bneuron_v_10: 0.46
4000, exc, bneuron_d_0: 1.0, bneuron_v_0: 0.0
4000, exc, bneuron_d_1: 1.03, bneuron_v_1: 0.0
4000, exc, bneuron_d_1: 1.03, bneuron_v_1: 0.0
4000, exc, bneuron_d_2: 0.0, bneuron_v_2: 0.11
4000, exc, bneuron_d_2: 0.0, bneuron_v_2: 0.11
4000, exc, bneuron_d_3: 0.0, bneuron_v_3: 0.71
4000, exc, bneuron_d_3: 0.0, bneuron_v_3: 0.71
4000, exc, bneuron_d_4: 0.0, bneuron_v_4: 0.16
4000, exc, bneuron_d_4: 0.0, bneuron_v_4: 0.16
4000, exc, bneuron_d_5: 0.0, bneuron_v_5: 0.28
4000, exc, bneuron_d_5: 0.0, bneuron_v_5: 0.28
4000, exc, bneuron_d_6: 0.98, bneuron_v_6: 0.0
4000, exc, bneuron_d_6: 0.98, bneuron_v_6: 0.0
4000, exc, bneuron_d_7: 0.0, bneuron_v_7: 0.08
4000, exc, bneuron_d_7: 0.0, bneuron_v_7: 0.08
4000, exc, bneuron_d_8: 0.0, bneuron_v_8: 0.61
4000, exc, bneuron_d_8: 0.0, bneuron_v_8: 0.61
4000, exc, bneuron_d_9: 0.0, bneuron_v_9: 0.72
4000, exc, bneuron_d_9: 0.0, bneuron_v_9: 0.72
4000, exc, bneuron_d_10: 0.65, bneuron_v_10: 0.0
4000, exc, bneuron_d_10: 0.65, bneuron_v_10: 0.0
